"category","module","onnx_scope","tensorrt_layer_or_pattern","fp16_time_ms","count","shape_or_precision","mapping_status","planned_action","notes"
"MODULE_BOUNDARY","Encoder stage 1","entry: /model/patch_embed1/proj/Conv; exit: /model/Transpose_1","entry: /model/patch_embed1/proj/Conv; exit: __myl_AddSqrtDivMulMulAddReshTran_myl48_3","","1","exit 1x64x88x88","semantic","keep FP16 initially","Current ONNX adds an edge-token Transpose, so its stage-output suffix is one larger than the report engine"
"MODULE_BOUNDARY","Encoder stage 2","entry: /model/patch_embed2/proj/Conv; exit: /model/Transpose_2","entry: /model/patch_embed2/proj/Conv; exit: __myl_AddSqrtDivMulMulAddReshTran_myl88_3","","1","exit 1x128x44x44","semantic","keep FP16 initially","TRT exit contains the old-graph /model/Transpose_1"
"MODULE_BOUNDARY","Encoder stage 3","entry: /model/patch_embed3/proj/Conv; exit: /model/Transpose_3","entry: /model/patch_embed3/proj/Conv; exit: __myl_AddSqrtDivMulMulAddReshTran_myl252_3","","1","exit 1x320x22x22","semantic","keep FP16 initially; profile separately","TRT exit contains the old-graph /model/Transpose_2"
"MODULE_BOUNDARY","Encoder stage 4","entry: /model/patch_embed4/proj/Conv; exit: /model/Transpose_4","entry: /model/patch_embed4/proj/Conv; exit: __myl_AddSqrtDivMulMulAddReshTran_myl262_3","","1","exit 1x512x11x11","semantic","keep FP16 initially","TRT exit contains the old-graph /model/Transpose_3"
"MODULE_BOUNDARY","Decoder FEM1","entry: /model/decoder/FEM1/conv1/Conv; exit: /model/decoder/FEM1/prelu_2/PRelu","entry: /model/decoder/FEM1/conv1/Conv + PWN(.../FEM1/prelu/PRelu); exit fused into PWN(.../FEM1/prelu_2/PRelu, .../d31/Add, .../d42_31/Add)","","1","1x64x88x88","exact/fused","conv INT8; CBAM FP16","FEM1 exit is fused with downstream residual adds"
"MODULE_BOUNDARY","Decoder FEM2","entry: /model/decoder/FEM2/conv1/Conv; exit: /model/decoder/FEM2/prelu_2/PRelu","entry: /model/decoder/FEM2/conv1/Conv + PWN(.../FEM2/prelu/PRelu); exit fused into PWN(.../FEM2/prelu_2/PRelu, .../d42/Add)","","1","1x128x44x44","exact/fused","conv INT8; CBAM FP16","FEM2 exit is fused with d42/Add"
"MODULE_BOUNDARY","Decoder FEM3","entry: /model/decoder/FEM3/conv1/Conv; exit: /model/decoder/FEM3/prelu_2/PRelu","entry: /model/decoder/FEM3/conv1/Conv + PWN(.../FEM3/prelu/PRelu); exit: PWN(/model/decoder/FEM3/prelu_2/PRelu)","","1","1x320x22x22","exact/fused","conv INT8; CBAM FP16",""
"MODULE_BOUNDARY","Decoder FEM4","entry: /model/decoder/FEM4/conv1/Conv; exit: /model/decoder/FEM4/prelu_2/PRelu","entry: /model/decoder/FEM4/conv1/Conv + PWN(.../FEM4/prelu/PRelu); exit: PWN(/model/decoder/FEM4/prelu_2/PRelu)","","1","1x512x11x11","exact/fused","conv INT8; CBAM FP16",""
"MODULE_BOUNDARY","Decoder d31","entry: /model/decoder/d31/Resize; exit: /model/decoder/d31/Add","entry: /model/decoder/d31/Resize; conv: /model/decoder/d31/conv_pre/conv_pre.0/Conv + ...Relu; exit fused into FEM1/d31/d42_31 PWN","","1","1x320x22x22 -> 1x64x88x88","exact/fused","conv_pre INT8",""
"MODULE_BOUNDARY","Decoder d42","entry: /model/decoder/d42/Resize; exit: /model/decoder/d42/Add","entry: /model/decoder/d42/Resize; conv: /model/decoder/d42/conv_pre/conv_pre.0/Conv + ...Relu; exit: PWN(FEM2/prelu_2, d42/Add)","","1","1x512x11x11 -> 1x128x44x44","exact/fused","conv_pre INT8",""
"MODULE_BOUNDARY","Decoder d42_31","entry: /model/decoder/d42_31/Resize; exit: /model/decoder/d42_31/Add","entry: /model/decoder/d42_31/Resize; conv: /model/decoder/d42_31/conv_pre/conv_pre.0/Conv + ...Relu; exit fused into FEM1/d31/d42_31 PWN","","1","1x128x44x44 -> 1x64x88x88","exact/fused","conv_pre INT8",""
