copy_index,upstream_layer,upstream_output_index,upstream_tensor,upstream_output_format_datatype,copy_node,copy_input_format_datatype,copy_output_format_datatype,downstream_layer,downstream_input_index,downstream_tensor,downstream_input_format_datatype,tensor_dimensions
1,<Network Input>,,image,Row major linear FP32,Reformatting CopyNode for Network Input image,Row major linear FP32,Four wide channel vectorized row major Int8 format,/model/patch_embed1/proj_1/Conv,0,Reformatted image,Four wide channel vectorized row major Int8 format,1x3x352x352
1,<Network Input>,,image,Row major linear FP32,Reformatting CopyNode for Network Input image,Row major linear FP32,Four wide channel vectorized row major Int8 format,/model/edge_branch/enc1/enc1.0/Conv,0,Reformatted image,Four wide channel vectorized row major Int8 format,1x3x352x352
2,/model/patch_embed1/proj_1/Conv,0,/model/patch_embed1/proj_1/Conv_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[/model/patch_embed1_1/Reshape + /model/patch_embed1_1/Transpose.../model/block1.0/attn/Transpose_1 + /model/block1.0/attn/Reshape_1]},Thirty-two wide channel vectorized row major Int8 format,Row major linear FP16 format,__myl_ReshTran_myl3_0,0,Reformatted Input Tensor 0 to {ForeignNode[/model/patch_embed1_1/Reshape + /model/patch_embed1_1/Transpose.../model/block1.0/attn/Transpose_1 + /model/block1.0/attn/Reshape_1]},Half,1x64x88x88
3,/model/edge_branch/out_conv/Conv + PWN(/model/sigmoid/Sigmoid),0,/model/sigmoid/Sigmoid_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 0 to /model/Expand,Thirty-two wide channel vectorized row major Int8 format,Row major linear FP16 format,/model/Expand,0,Reformatted Input Tensor 0 to /model/Expand,Row major linear FP16 format,1x1x352x352
4,/model/Expand,0,/model/Expand_output_0,Row major linear FP16 format,Reformatting CopyNode for Input Tensor 0 to /model/patch_embed1/proj/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 4 == 0,/model/patch_embed1/proj/Conv,0,Reformatted Input Tensor 0 to /model/patch_embed1/proj/Conv,Channel major FP16 format where channel % 4 == 0,1x3x352x352
5,__myl_AddSqrtDivMulMulAddTran_myl3_2,0,/model/block1.0/attn/Reshape_1_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block1.0/attn/sr/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block1.0/attn/sr/Conv,0,Reformatted Input Tensor 0 to /model/block1.0/attn/sr/Conv,Channel major FP16 format where channel % 8 == 0,1x64x88x88
6,/model/patch_embed1/proj/Conv,0,/model/patch_embed1/proj/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[/model/patch_embed1/Reshape + /model/patch_embed1/Transpose.../model/block1.0/mlp/dwconv/Transpose + /model/block1.0/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTran_myl28_0,0,Reformatted Input Tensor 0 to {ForeignNode[/model/patch_embed1/Reshape + /model/patch_embed1/Transpose.../model/block1.0/mlp/dwconv/Transpose + /model/block1.0/mlp/dwconv/Reshape]},Half,1x64x88x88
7,/model/block1.0/attn/sr/Conv,0,/model/block1.0/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[/model/patch_embed1/Reshape + /model/patch_embed1/Transpose.../model/block1.0/mlp/dwconv/Transpose + /model/block1.0/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl28_3,0,Reformatted Input Tensor 2 to {ForeignNode[/model/patch_embed1/Reshape + /model/patch_embed1/Transpose.../model/block1.0/mlp/dwconv/Transpose + /model/block1.0/mlp/dwconv/Reshape]},Half,1x64x11x11
8,__myl_Add_myl28_9,0,/model/block1.0/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block1.0/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block1.0/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block1.0/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x256x88x88
9,__myl_FcAdd_myl28_6,0,/model/block1.0/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[model.rgb_encoder.block1.0.mlp.fc2.bias + ONNXTRT_Broadcast_271.../model/block1.1/attn/Transpose_1 + /model/block1.1/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl32_2,1,Reformatted Input Tensor 1 to {ForeignNode[model.rgb_encoder.block1.0.mlp.fc2.bias + ONNXTRT_Broadcast_271.../model/block1.1/attn/Transpose_1 + /model/block1.1/attn/Reshape_1]},Float,1x7744x64
