copy_index,upstream_layer,upstream_tensor,upstream_output_format_datatype,copy_node,copy_input_format_datatype,copy_output_format_datatype,downstream_layer,downstream_tensor,downstream_input_format_datatype,tensor_dimensions
1,<Network Input>,image,Row major linear FP32,Reformatting CopyNode for Network Input image,Row major linear FP32,Four wide channel vectorized row major Int8 format,/model/patch_embed1/proj_1/Conv [input 0] | /model/edge_branch/enc1/enc1.0/Conv [input 0],Reformatted image,Four wide channel vectorized row major Int8 format,1x3x352x352
2,/model/patch_embed1/proj_1/Conv [output 0],/model/patch_embed1/proj_1/Conv_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[/model/patch_embed1_1/Reshape + /model/patch_embed1_1/Transpose.../model/block1.0/attn/Transpose_1 + /model/block1.0/attn/Reshape_1]},Thirty-two wide channel vectorized row major Int8 format,Row major linear FP16 format,__myl_ReshTran_myl3_0 [input 0],Reformatted Input Tensor 0 to {ForeignNode[/model/patch_embed1_1/Reshape + /model/patch_embed1_1/Transpose.../model/block1.0/attn/Transpose_1 + /model/block1.0/attn/Reshape_1]},Half,1x64x88x88
3,/model/edge_branch/out_conv/Conv + PWN(/model/sigmoid/Sigmoid) [output 0],/model/sigmoid/Sigmoid_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 0 to /model/Expand,Thirty-two wide channel vectorized row major Int8 format,Row major linear FP16 format,/model/Expand [input 0],Reformatted Input Tensor 0 to /model/Expand,Row major linear FP16 format,1x1x352x352
20,__myl_AddSqrtDivMulMulAddReshTran_myl50_3 [output 0],Reformatted Output Tensor 0 to {ForeignNode[model.rgb_encoder.block1.2.mlp.fc2.bias + ONNXTRT_Broadcast_463.../model/Reshape + /model/Transpose]},Half,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[model.rgb_encoder.block1.2.mlp.fc2.bias + ONNXTRT_Broadcast_463.../model/Reshape + /model/Transpose]},Channel major FP16 format where channel % 8 == 0,Thirty-two wide channel vectorized row major Int8 format,"Reformatting CopyNode for Input Tensor 0 to /model/patch_embed2/proj/Conv [input 0] | /model/decoder/FEM1/conv1/Conv + PWN(onnx::PRelu_6481 + ONNXTRT_Broadcast_3024, PWN(/model/decoder/FEM1/prelu/PRelu)) [input 0] | PWN(/model/decoder/FEM1/Add) [input 1] | /model/decoder/FEM1/conv3/Conv + /model/decoder/FEM1/Add_1 [input 1]",/model/Transpose_output_0,Thirty-two wide channel vectorized row major Int8 format,1x64x88x88
21,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[model.rgb_encoder.block1.2.mlp.fc2.bias + ONNXTRT_Broadcast_463.../model/Reshape + /model/Transpose]} [output 0],/model/Transpose_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 0 to /model/patch_embed2/proj/Conv,Thirty-two wide channel vectorized row major Int8 format,Channel major FP16 format where channel % 8 == 0,/model/patch_embed2/proj/Conv [input 0],Reformatted Input Tensor 0 to /model/patch_embed2/proj/Conv,Channel major FP16 format where channel % 8 == 0,1x64x88x88
132,__myl_AddSqrtDivMulMulAddReshTran_myl254_3 [output 0],Reformatted Output Tensor 0 to {ForeignNode[model.rgb_encoder.block3.17.mlp.fc2.bias + ONNXTRT_Broadcast_2679.../model/Reshape_2 + /model/Transpose_2]},Half,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[model.rgb_encoder.block3.17.mlp.fc2.bias + ONNXTRT_Broadcast_2679.../model/Reshape_2 + /model/Transpose_2]},Channel major FP16 format where channel % 8 == 0,Thirty-two wide channel vectorized row major Int8 format,"/model/patch_embed4/proj/Conv [input 0] | /model/decoder/FEM3/conv1/Conv + PWN(onnx::PRelu_6453 + ONNXTRT_Broadcast_3008, PWN(/model/decoder/FEM3/prelu/PRelu)) [input 0] | Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM3/Add) [input 0] | /model/decoder/FEM3/conv3/Conv + /model/decoder/FEM3/Add_1 [input 1]",/model/Transpose_2_output_0,Thirty-two wide channel vectorized row major Int8 format,1x320x22x22
133,/model/patch_embed4/proj/Conv [output 0],/model/patch_embed4/proj/Conv_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[/model/patch_embed4/Reshape + /model/patch_embed4/Transpose.../model/block4.0/mlp/dwconv/Transpose + /model/block4.0/mlp/dwconv/Reshape]},Thirty-two wide channel vectorized row major Int8 format,Channel major FP16 format where channel % 8 == 0,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl258_0 [input 0],Reformatted Input Tensor 0 to {ForeignNode[/model/patch_embed4/Reshape + /model/patch_embed4/Transpose.../model/block4.0/mlp/dwconv/Transpose + /model/block4.0/mlp/dwconv/Reshape]},Half,1x512x11x11
134,"/model/decoder/FEM1/conv1/Conv + PWN(onnx::PRelu_6481 + ONNXTRT_Broadcast_3024, PWN(/model/decoder/FEM1/prelu/PRelu)) [output 0]",/model/decoder/FEM1/prelu/PRelu_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM1/Reshape + /model/decoder/FEM1/Transpose,Thirty-two wide channel vectorized row major Int8 format,Row major linear FP16 format,/model/decoder/FEM1/Reshape + /model/decoder/FEM1/Transpose [input 0],Reformatted Input Tensor 0 to /model/decoder/FEM1/Reshape + /model/decoder/FEM1/Transpose,Row major linear FP16 format,1x64x88x88
135,/model/decoder/FEM1/Reshape_1 [output 0],/model/decoder/FEM1/Reshape_1_output_0,Row major linear FP16 format,Reformatting CopyNode for Input Tensor 0 to PWN(/model/decoder/FEM1/Add),Row major linear FP16 format,Thirty-two wide channel vectorized row major Int8 format,PWN(/model/decoder/FEM1/Add) [input 0],Reformatted Input Tensor 0 to PWN(/model/decoder/FEM1/Add),Thirty-two wide channel vectorized row major Int8 format,1x64x88x88
136,/model/decoder/FEM1/cbam/ca/avg_pool/GlobalAveragePool [output 0],/model/decoder/FEM1/cbam/ca/avg_pool/GlobalAveragePool_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM1/cbam/ca/fc1/Conv + /model/decoder/FEM1/cbam/ca/relu1/Relu,Thirty-two wide channel vectorized row major Int8 format,Channel major FP16 format where channel % 8 == 0,/model/decoder/FEM1/cbam/ca/fc1/Conv + /model/decoder/FEM1/cbam/ca/relu1/Relu [input 0],Reformatted Input Tensor 0 to /model/decoder/FEM1/cbam/ca/fc1/Conv + /model/decoder/FEM1/cbam/ca/relu1/Relu,Channel major FP16 format where channel % 8 == 0,1x64x1x1
137,PWN(/model/decoder/FEM1/Add) [output 0],/model/decoder/FEM1/Add_output_0,Thirty-two wide channel vectorized row major Int8 format,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM1/cbam/ca/max_pool/MaxPool,Thirty-two wide channel vectorized row major Int8 format,Channel major FP16 format where channel % 8 == 0,/model/decoder/FEM1/cbam/ca/max_pool/MaxPool [input 0],Reformatted Input Tensor 0 to /model/decoder/FEM1/cbam/ca/max_pool/MaxPool,Channel major FP16 format where channel % 8 == 0,1x64x88x88
138,/model/decoder/FEM1/cbam/ca/fc2_1/Conv + /model/decoder/FEM1/cbam/ca/Add [output 0],/model/decoder/FEM1/cbam/ca/Add_output_0,Channel major FP16 format where channel % 8 == 0,"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,Thirty-two wide channel vectorized row major Int8 format,"PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul)) [input 0]","Reformatted Input Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",Thirty-two wide channel vectorized row major Int8 format,1x64x1x1
